K	n_graph_kmers	n_link_kmers	n_links	link_junction_mem
21	943614	15502	523847	1.8MB
31	973203	6792	72634	137KB
41	985939	3036	15252	19.6KB
51	991526	1375	5044	5.7KB
61	994205	718	2037	2.1KB
71	995708	423	849	851B
81	996638	257	420	420B
91	994901	152	201	201B
